Hour,Occupancy/Capacity Sum,Occupancy/Capacity Avrg
0,1.58152104800699,0.000491460860163762
0.01,2.07293790503994,0.000644169641093829
0.02,1.50797242370826,0.00046860547660294
0.03,1.17379620249433,0.000364759540862129
0.04,2.14018756765206,0.000665067609587341
0.05,2.85720669768249,0.000887882752542726
0.06,2.78376615968648,0.000865060957018795
0.07,2.31115514641895,0.000718196130024533
0.08,2.10072425500538,0.000652804305470909
0.09,1.18157619088151,0.000367177187968151
0.1,1.32629116533451,0.00041214765858748
0.11,0.579311907242537,0.000180022345320863
0.12,0.339486670946582,0.000105496168721747
0.13,0.422733803552769,0.000131365383329015
0.14,0.0264912280701754,8.23220263212413E-06
0.15,0.0381818181818182,1.18650771230013E-05
0.16,0.422108399906632,0.000131171037882732
0.17,0.412907438008277,0.000128311820387905
0.18,0.244241053064583,7.58984005794228E-05
0.19,0.807813141679821,0.00025102956546918
0.2,1.28454228360653,0.000399174109262441
0.21,0.865588053291529,0.000268983235951376
0.22,0.700103306911053,0.000217558516752969
0.23,0.589489264007213,0.000183184979492608
0.24,0.293778859585027,9.12923740164784E-05
0.25,0.474011927332515,0.000147300163869644
0.26,0.299262667654663,9.29964784507965E-05
0.27,0.326868867566542,0.000101575160834848
0.28,0.104732277526395,3.25457667888114E-05
0.29,0.0278187177597642,8.6447227345445E-06
0.3,0.0447678703021371,1.39117061224789E-05
0.31,0.0258620689655172,8.03669016952058E-06
0.32,0.0181818181818182,5.65003672523871E-06
0.33,0.181827930755548,5.65033967543653E-05
0.34,0.642641082479406,0.000199702014443569
0.35,1.31737292063838,0.000409376296034302
0.36,0.837424805984031,0.000260231449963962
0.37,0.825915011013149,0.000256654757928263
0.38,0.522536716040622,0.000162379339975333
0.39,0.395597811539071,0.00012293281899909
0.4,0.379450660435333,0.000117915059178164
0.41,0.607124738308108,0.000188665238753297
0.42,0.610136580351929,0.000189601174751998
0.43,0.0572304824656465,1.77844880253718E-05
0.44,0.0172413793103448,5.35779344634706E-06
0.45,0.0344827586206897,1.07155868926941E-05
0.46,0.0395962732919255,1.23046219055082E-05
0.47,0.134465837225529,4.17855305237815E-05
0.48,0.21850337596005,6.79003654319608E-05
0.49,1.01250782439144,0.000314638851582176
0.5,1.29794567194165,0.000403339239260922
0.51,1.06407534648153,0.000330663563232296
0.52,0.560861949051571,0.000174288983546169
0.53,0.451212298111996,0.000140215133036668
0.54,0.41957801696241,0.000130384716271725
0.55,0.483948074852409,0.000150387841781358
0.56,0.121546968298505,3.77709659100388E-05
0.57,0.27073804347483,8.41323938703635E-05
0.58,0.346776731248448,0.000107761569685658
0.59,0.0801042816832291,2.48925673347511E-05
1,0.17707590540429,5.50266952779024E-05
1.01,0.168484554393426,5.23569155977086E-05
1.02,0.403040913335031,0.000125245777916417
1.03,0.113898980172452,3.53943381517873E-05
1.04,0.677414301540506,0.000210507862504818
1.05,0.820612681554763,0.000255007048338957
1.06,0.465177394441319,0.000144554814928937
1.07,0.571261771622306,0.000177520749416503
1.08,0.541711119041026,0.000168337824437858
1.09,0.25154045459049,7.81667043475732E-05
1.1,0.466605750601241,0.000144998679490752
1.11,0.418745612669064,0.000130126044956204
1.12,0.29647290516553,9.21295541222902E-05
1.13,0.230719561905967,7.16965698899834E-05
1.14,0.0264912280701754,8.23220263212413E-06
1.15,0.145,4.50590428837787E-05
1.16,0.0395962732919255,1.23046219055082E-05
1.17,0.0965625101992088,3.00069950898722E-05
1.18,0.259235013175231,8.05578039699287E-05
1.19,0.800771811876023,0.000248841458009951
1.2,1.14321230353781,0.000355255532485335
1.21,0.703350562959183,0.000218567608129019
1.22,0.442699777001301,0.000137569849907179
1.23,1.02920018065272,0.000319826035007059
1.24,0.550895677518496,0.000171191944536512
1.25,0.349009213258913,0.000108455317979774
1.26,0.215244784439166,6.68877515348557E-05
1.27,0.12069435738694,3.75060153470914E-05
1.28,0.237575540666269,7.38270791380573E-05
1.29,0.101515151515152,3.15460383825828E-05
1.3,0.199014699929584,6.18442199905481E-05
1.31,0.366645994563452,0.000113935983394485
1.32,0.165480875051463,5.14235161750972E-05
1.33,0.187655367887067,5.8314284613756E-05
1.34,0.753801865630922,0.000234245452340249
1.35,1.23190851967117,0.000382818060805211
1.36,0.826151710118976,0.000256728312653504
1.37,0.455607110030507,0.000141580829717373
1.38,0.42605291129472,0.000132396802764052
1.39,0.759475873893243,0.000236008661868627
1.4,0.466648170003277,0.000145011861405617
1.41,0.383085213203378,0.000119044503792224
1.42,0.137335064383211,4.26771486585491E-05
1.43,0.101515151515152,3.15460383825828E-05
1.44,0.0609069278115352,1.8926950842615E-05
1.45,0.302761897569783,9.40838712149728E-05
1.46,0.320886803649581,9.97162223895528E-05
1.47,0.16568343302386,5.14864614741642E-05
1.48,0.241098484848485,7.49218411586342E-05
1.49,0.883157939985156,0.000274443113730626
1.5,1.4508308045682,0.000450848603035489
1.51,1.04353441659154,0.000324280427778601
1.52,0.875693819802252,0.000272123623307101
1.53,1.0863027075163,0.000337570760570634
1.54,0.947823192803861,0.000294537971660616
1.55,0.748361417196401,0.000232554822000125
1.56,0.509086972940416,0.000158199805139968
1.57,0.331468322940752,0.000103004450882769
1.58,0.202846292453178,6.30348951066432E-05
1.59,0.502846932598288,0.000156260699999468
2,0.223928032448938,6.95860883930821E-05
2.01,0.246386438631598,7.65650834778116E-05
2.02,0.0805153542110064,2.50203089530784E-05
2.03,0.123124408795464,3.82611587307221E-05
2.04,0.923418797130577,0.000286954256410994
2.05,1.67975852496669,0.000521988354557705
