hour,traffic
0,9019
1,5353
2,7986
3,7444
4,8352
5,14015
6,23702
7,34647
8,34706
9,33957
10,32843
11,34905
12,30790
13,33019
14,49487
15,52475
16,41930
17,40675
18,45503
19,39968
20,27136
21,23576
22,28384
23,22269
