Hour,Occupancy/Capacity Sum,Occupancy/Capacity Avrg
0,0.399943434012433,0.0181792470005651
0.01,0.189095097904404,0.00859523172292745
0.02,0.196944980726888,0.0089520445784949
0.03,0.191656003589742,0.00871163652680645
0.04,0.373357794247568,0.0169708088294349
0.05,0.189247359366467,0.00860215269847575
0.06,0.0978690353222191,0.00444859251464632
0.07,0.134438200853765,0.00611082731153477
0.08,0.0425000013783574,0.00193181824447079
0.09,0.102676166997602,0.00466709849989098
0.1,0.17550754128024,0.00797761551273817
0.11,0.108089886140078,0.00491317664273083
0.12,0.0716853924095631,0.00325842692770741
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0.0333333350718021,0.00151515159417282
0.18,0.0519912616970638,0.00236323916804836
0.19,0.0802905187010765,0.00364956903186711
0.2,0.112302265285204,0.00510464842205472
0.21,0.147556953132153,0.00670713423327966
0.22,0.0885567949153483,0.00402530885978856
0.23,0.14500000141561,0.00659090915525501
0.24,0.122830108972266,0.00558318677146665
0.25,0.0620037443004549,0.00281835201365704
0.26,0.00866141729056835,0.000393700785934925
0.27,0.0625842688605189,0.00284473949365995
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0.201074286177754,0.00913974028080702
0.35,0.179171732394025,0.00814416965427385
0.36,0.0465504894964397,0.00211593134074726
0.37,0.104036696255207,0.00472894073887305
0.38,0.0573689141310751,0.00260767791504887
0.39,0.128023494966328,0.00581924977119673
0.4,0.148683639708906,0.00675834725949575
0.41,0.0283333342522383,0.00128787882964719
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0.332748852049311,0.0151249478204232
0.5,0.292361588527759,0.0132891631148981
0.51,0.0693444544449449,0.0031520206565884
0.52,0.0961861051619053,0.00437209568917751
0.53,0.00939849624410272,0.000427204374731942
0.54,0.0449541285634041,0.00204336948015473
0.55,0.10469418981423,0.00475882680973772
0.56,0.0610299631953239,0.00277408923615109
0.57,0.0539325848221779,0.00245148112828081
0.58,0,0
0.59,0.0688202250748873,0.00312819204885851
1,0.0233333334326744,0.00106060606512156
1.01,0,0
1.02,0.072265918366611,0.00328481447120959
1.03,0,0
1.04,0.0975569523870945,0.00443440692668611
1.05,0.185292478278279,0.00842238537628542
1.06,0.241108428686857,0.0109594740312208
1.07,0.12642569715778,0.00574662259808092
1.08,0.0460674166679382,0.00209397348490628
1.09,0.0809130324050784,0.00367786510932175
1.1,0.0425438601523638,0.00193381182510744
1.11,0.0732890693470836,0.00333132133395834
1.12,0.0792602985166013,0.0036027408416637
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0.12348125812908,0.00561278446041273
1.2,0.380691992118955,0.0173041814599525
1.21,0.255189328454435,0.011599514929747
1.22,0.177921682596207,0.00808734920891849
1.23,0.226704894875487,0.0103047679488858
1.24,0.0695656035095453,0.00316207288679751
1.25,0.0350984251126647,0.00159538295966658
1.26,0.126284403726459,0.00574020016938448
1.27,0.0238888890792926,0.0010858585945133
1.28,0,0
1.29,0,0
1.3,0.025000000372529,0.00113636365329677
1.31,0.0241666669026017,0.00109848485920917
1.32,0.0528089888393879,0.00240040858360854
1.33,0,0
1.34,0.255221573635936,0.0116009806198153
1.35,0.102370886132121,0.00465322209691459
1.36,0.206926441751421,0.0094057473523373
1.37,0.128577983006835,0.00584445377303795
1.38,0.148771930485964,0.00676236047663472
1.39,0.0595505610108376,0.0027068436823108
1.4,0,0
1.41,0.194060234973828,0.00882091977153764
1.42,0.0272727273404598,0.00123966942456636
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0.0617977529764175,0.00280898877165534
1.47,0.0651685371994972,0.00296220623634078
1.48,0,0
1.49,0.315404206514359,0.0143365548415618
1.5,0.21147811661164,0.00961264166416544
1.51,0.252645786851645,0.0114838994023475
1.52,0.193758528679609,0.00880720584907315
1.53,0.221666665747762,0.0100757575339892
1.54,0.102500000968575,0.00465909095311707
1.55,0.0916666655490796,0.00416666661586725
1.56,0.0674157291650772,0.00306435132568533
1.57,0,0
1.58,0.0674157291650772,0.00306435132568533
1.59,0,0
2,0.0941198505461216,0.00427817502482371
2.01,0.0741573050618172,0.00337078659371896
2.02,0,0
2.03,0.0216666664928198,0.000984848476946354
2.04,0.245526070396105,0.0111602759270957
2.05,0.255897905677557,0.0116317229853435
2.06,0.344828573986888,0.0156740260903131
2.07,0.201144067570567,0.00914291216229851
2.08,0.148375436663628,0.00674433803016489
2.09,0.223788338402907,0.0101721972001321
2.1,0.0756554330388705,0.00343888331994866
2.11,0.225176427513361,0.0102352921596982
2.12,0.036363635212183,0.00165289250964468
2.13,0.0786516889929771,0.00357507677240805
2.14,0,0
2.15,0.0808988735079765,0.00367722152308984
2.16,0,0
2.17,0.0786516889929771,0.00357507677240805
2.18,0.0191666660830379,0.000871212094683539
2.19,0.17071077413857,0.00775958064266226
2.2,0.247464557178319,0.0112483889626508
2.21,0.23337630306681,0.0106080137757641
2.22,0.100689925253391,0.00457681478424506
2.23,0.172759395403167,0.00785269979105303
2.24,0.230852488428354,0.0104932949285616
2.25,0.0574152991175652,0.00260978632352569
2.26,0.131151426583529,0.00596142848106948
2.27,0,0
2.28,0,0
2.29,0,0
2.3,0.0183333326131105,0.000833333300595934
2.31,0,0
2.32,0,0
2.33,0.0495412833988667,0.0022518765181303
2.34,0.269891591121753,0.0122677995964433
2.35,0.407159956047932,0.0185072707294515
2.36,0.284837228246033,0.0129471467384561
2.37,0.189722536752621,0.0086237516705737
2.38,0.204166663810611,0.00928030290048231
2.39,0.120946295559406,0.00549755888906392
2.4,0.0939483568072319,0.00427037985487418
2.41,0.0786516889929771,0.00357507677240805
2.42,0.0422535203397274,0.0019206145608967
2.43,0,0
2.44,0,0
2.45,0,0
2.46,0.0797752812504768,0.00362614914774895
2.47,0.0831460654735565,0.00377936661243439
2.48,0,0
2.49,0.326627133414149,0.0148466878824613
2.5,0.381541802082211,0.017342809185555
2.51,0.081278195604682,0.00369446343657645
2.52,0.131369604884336,0.00597134567656074
2.53,0.328146070241928,0.0149157304655422
2.54,0.279418475925922,0.0127008398148147
2.55,0.0831460654735565,0.00377936661243439
2.56,0.0149999996647239,0.000681818166578358
2.57,0.0853932574391365,0.00388151170177893
2.58,0.0831460654735565,0.00377936661243439
2.59,0.109461855143309,0.00497553887015039
3,0,0
3.01,0,0
3.02,0.0133333336561918,0.000606060620735992
3.03,0.0403669737279415,0.00183486244217916
3.04,0.13124126419425,0.00596551200882955
3.05,0.298492517322302,0.0135678416964683
3.06,0.209886602126062,0.00954030009663918
3.07,0.100936328992248,0.00458801495419307
3.08,0.332977522785465,0.0151353419447939
3.09,0.216666670516133,0.00984848502346061
3.1,0.108479191083461,0.0049308723219755
3.11,0.041284404695034,0.00187656384977427
3.12,0.0849999999627471,0.00386363636194305
3.13,0,0
3.14,0,0
3.15,0,0
3.16,0.0998127330094576,0.0045369424095208
3.17,0.0876404494047165,0.00398365679112348
3.18,0,0
3.19,0.118101231753826,0.0053682378069921
3.2,0.479867032418648,0.0218121378372113
3.21,0.298242593184114,0.0135564815083688
3.22,0.0584480119869113,0.00265672781758688
3.23,0.061375723220408,0.00278980560092763
3.24,0.0202445089817047,0.000920204953713851
3.25,0.0532798152416945,0.00242180978371338
3.26,0,0
3.27,0.0994947538711131,0.00452248881232332
3.28,0.0831460691988468,0.00377936678176576
3.29,0,0
3.3,0,0
3.31,0.0950655438937247,0.00432116108607839
3.32,0,0
3.33,0.0786516852676868,0.00357507660307667
3.34,0.106772497296333,0.00485329533165151
3.35,0.23625964174668,0.0107390746248491
3.36,0.23372358456254,0.0106237992982973
