NodeId,X,Y,Z,TotalTraffic
GOAUSEY,-27.80238,1.6,62.00948,89
ASFXECS,-37.88258,1.6,59.7914,151
USOZKNE,-39.39619,1.6,65.42747,119
LRCVUYF,-24.16609,1.6,68.88605,106
ANXQCWR,-25.50471,1.6,73.2014,1297
XLNIDDU,-40.4099,1.6,69.91665,496
ZXMIJIW,-50.15575,1.6,70.21547,2815
DCSUDAX,-54.99533,1.6,62.20768,3372
JAGCQBE,-90.58279,1.6,52.6627,12
PYINWRM,-95.18711,1.6,49.54321,54
ETTBAQB,-99.28252,1.6,47.00343,24
YTWDRYQ,-110.6085,1.6,65.13437,25
YGJWWFU,-105.1547,1.6,72.96922,25
TCKNDML,-84.34405,1.6,57.87392,40
HDQQELF,-94.05383,1.6,57.87008,223
TIHGRLD,-67.84135,1.6,69.41872,887
OEXWFBA,-77.72005,1.6,66.16109,153
KKDWWXS,-83.55283,1.6,70.11057,965
MGLEKSH,-108.7148,1.6,110.1941,5
QAXYWFL,-97.81174,1.6,105.4277,4
WLDYOWJ,-103.5032,1.6,92.19587,331
JSCIODT,-117.553,1.6,106.9435,261
PHOWNBM,-84.51671,1.6,98.88506,51
LYOTXVH,-99.23392,1.6,99.74146,4
XJSIVZS,-100.6325,1.6,92.41181,10
OQPSHPV,-89.72274,1.6,80.46026,10
TEQNVKW,-86.2637,1.6,81.02892,73
ZFIDOCK,-73.54053,1.6,73.35077,2321
QATUKFI,-80.97718,1.6,77.82651,1129
QOQSWTM,-69.26694,1.6,80.96907,1034
JKPJLWV,-55.48413,1.6,71.2171,295
MGDDDWZ,-52.07027,1.6,80.92388,243
IPVZZUF,-41.52626,1.6,107.9,4477
PSGPDPY,-44.6504,1.6,105.3924,619
ZOJMBSP,-62.45442,1.6,89.19964,1533
AGSRNSE,-66.53357,1.6,85.80473,924
JZATOQE,-76.05483,1.6,90.54728,1554
JRHXUEU,1.756927,1.6,130.2875,1815
TYMOIGS,1.712624,1.6,132.5759,312
NSTZCHC,-3.06041,1.6,113.2403,1
NEDNERZ,-23.35934,1.6,145.2901,587
HJOPIYW,-32.04632,1.6,148.4702,1226
EKARXQT,-29.31424,1.6,110.7144,68
DFCGPOM,-44.38284,1.6,80.05839,5253
TBYFAVQ,-26.79465,1.6,78.11551,820
OFNSASU,-8.055557,1.6,83.05879,532
HRLZDTV,-73.99846,1.6,95.68079,2187
OHYKAOX,-31.60428,1.6,150.5376,12
VKZMYSR,-39.53139,1.6,195.0151,1
SFRVBES,-8.80674,1.6,107.572,9
JHDQPYS,-9.386871,1.6,104.672,359
AIPRBRA,-16.90932,1.6,112.0343,18
GAKQOLU,-24.45113,1.6,108.948,11
DLLKEHF,-25.43298,1.6,104.1359,192
IMTDQCK,-30.49959,1.6,103.0636,620
AAFLRCM,-34.24,1.6,99.28,11413
GTSIWXW,-44.42837,1.6,112.1982,687
XNLXFCO,-56.64074,1.6,125.1539,507
SWFICAV,1.736084,1.6,122.0242,1
UYYYRTF,-4.189606,1.6,118.3431,12
BEYLRQU,-0.7646027,1.6,126.6849,1
VAXIURJ,-4.520287,1.6,131.7525,4
DDCBQSP,-4.850792,1.6,125.6174,26
DFQSVAM,-13.92845,1.6,126.0495,4
VNMIFVM,-23.18697,1.6,128.7171,31
YQNWHWS,-23.15475,1.6,134.9678,19
SHEYKOD,-28.26575,1.6,135.1072,22
HCZTRJS,-29.79163,1.6,127.979,11834
RHVVGUV,-40.22505,1.6,140.6793,66
YSGGLUX,-45.67233,1.6,138.4759,46
ONWBGKR,-41.30194,1.6,127.5512,69
KDXNHVY,-49.32104,1.6,131.4582,147
HYMKQTH,-46.42889,1.6,125.7062,45
UXHATNG,-53.00085,1.6,141.0676,206
BGBXRJO,-66.63,1.6,131.494,3101
MRHKDXQ,-68.43753,1.6,126.193,2878
WCZNVRS,-88.24012,1.6,130.5521,212
RKUVCIO,-100.4523,1.6,136.0352,185
QXEIKIX,-98.76069,1.6,142.8811,233
ACKWGVN,-128.3723,1.6,118.773,345
VYVQFFV,-166.6582,1.6,157.8771,1
MANVIBP,-172.7782,1.6,136.2662,1
CVOKRUJ,-192.3205,1.6,125.3153,1
TEAUOKJ,-194.326,1.6,132.8804,1
FEFOARS,-189.2671,1.6,126.1649,1
QXBLHYE,-182.947,1.6,130.3952,1
CJPKPGV,-179.8845,1.6,133.851,1
IPHKETZ,-177.0908,1.6,136.3801,1
GXVNVBR,-178.1795,1.6,151.3502,1
PABXUAO,-173.9792,1.6,153.2308,1
HLKXRNG,-175.9564,1.6,146.9835,1
ELFAMHS,-178.3153,1.6,140.9052,1
TMCFSIW,-182.556,1.6,150.4028,1
GQZZELA,-185.8823,1.6,148.483,1
NCOOWOY,-190.0354,1.6,146.6605,1
GPGVGOJ,-191.7026,1.6,149.6201,1
NNQAAAR,-187.258,1.6,152.21,1
VTOZELP,-183.9813,1.6,153.8672,1
UEMVLGU,-171.608,1.6,156.769,1
CGGNUXY,-120.8536,1.6,146.3663,103
KAFIMTG,-116.406,1.6,141.1895,54
TIXYLUT,-124.5163,1.6,137.9718,189
AFECEUU,-136.4395,1.6,134.8932,1
FCUWRUP,-141.1134,1.6,148.8461,1
GHBEJZF,-148.8716,1.6,152.8378,2
WCEVYPS,-147.3512,1.6,156.2027,2
GPYTLBL,-143.9975,1.6,156.735,2
WJOKBLC,-119.5646,1.6,152.0454,256
JMVQLUH,-125.5397,1.6,154.935,7
LHIUPLS,-129.6121,1.6,156.5833,8
JYVWQAW,-131.9495,1.6,150.4366,3
CMROEFN,-133.1707,1.6,159.2918,1
AXYVVMT,-138.5654,1.6,158.502,1
EPSNLIH,-151.8693,1.6,155.7167,2
DQNHQAB,-150.6274,1.6,159.8412,2
WQGZVFA,-149.1181,1.6,162.7968,1
VGKYHQM,-164.129,1.6,159.361,119
CENVGDX,-157.3854,1.6,163.66,2
MVPKEEM,-153.8682,1.6,169.6706,1
YAYGCON,-155.1908,1.6,167.6026,1
GHDJGDA,-160.5182,1.6,170.9155,1
KKWMJOC,-163.05,1.6,172.6427,1
KPNSOIG,-165.1711,1.6,170.0123,1
XKYPEUF,-162.8594,1.6,168.1558,1
HHYVGDT,-168.7583,1.6,164.2131,1
NFABZXZ,-193.5545,1.6,156.043,1
TZCTCDF,-188.876,1.6,157.8117,1
WXVEYVF,-188.0672,1.6,166.6793,1
SBRZSSL,-178.7059,1.6,163.3429,1
EWFBDPB,-180.8503,1.6,161.9343,1
GHHQKCN,-183.2207,1.6,164.4591,1
FGXPFDO,-185.026,1.6,167.7285,1
RVZKORN,-181.8606,1.6,167.8656,1
NRCLWJR,-179.6582,1.6,169.3669,1
IKTWWNG,-178.2682,1.6,172.97,1
CNOFYNP,-171.78,1.6,172.75,1
TBFMGYG,-172.35,1.6,179.01,1
RAFLAHS,-178.24,1.6,178.7559,1
YQYQXGK,-179.024,1.6,182.5271,1
PZKRVJR,-183.2103,1.6,184.43,1
YNULWCO,-188.69,1.6,188.1025,1
GVYZTKA,-183.7939,1.6,181.7128,1
KOSJGRM,-185.8019,1.6,172.0694,1
TYNZWNH,-176.37,1.6,176.33,1
HYTJIGD,-186.7507,1.6,179.1341,1
VTNPTMW,-189.5778,1.6,181.1906,1
FCNXNLW,-192.7318,1.6,172.6655,1
JBTFRLX,-193.4614,1.6,176.2078,1
MVLUIFS,-192.8462,1.6,181.2199,1
GOBHBHF,-193.9139,1.6,185.3092,1
VSFWEEY,-193.0161,1.6,191.5633,1
QKSMGPR,-190.9117,1.6,194.742,1
JIIDEAR,-170.6221,1.6,183.6729,1
MTHFKYN,-145.4518,1.6,169.4113,1
FNFBNMH,-132.5414,1.6,162.8551,1
WPYYORE,-128.5845,1.6,160.9565,8
VLRRCIC,-118.1794,1.6,156.132,72
DQHRDVJ,-30.09223,1.6,142.6161,316
GTZEPRP,-22.89732,1.6,146.5786,389
OYVTOFA,-30.35899,1.6,155.752,229
GGNNFOY,-2.071701,1.6,185.9363,1
WTXUXWK,-1.200623,1.6,188.6832,1
LLBMSGG,-0.54039,1.6,191.9775,1
ERLBISQ,2.103775,1.6,190.5659,1
NCDKDVI,0.4896698,1.6,184.1754,1
KQJISZU,-7.316223,1.6,179.8791,1
KATYZFY,-6.331917,1.6,175.8293,1
WZOSLSN,-18.41649,1.6,174.1301,1
URTPKZB,-18.61495,1.6,180.6277,1
VZDVVCZ,-18.38475,1.6,183.6231,1
EWBPVDY,-18.31894,1.6,186.6382,1
XTAFIKC,-17.88965,1.6,189.6913,1
DOAJPBO,-18.72045,1.6,177.8721,1
JDZMPOP,2.197166,1.6,166.1372,1
JUZJBQL,1.671196,1.6,138.5489,1
JGTDVWV,-21.84971,1.6,150.6243,1
NUNPNQK,-15.81263,1.6,146.7601,1
KVJHHXJ,-24.81464,1.6,151.2654,1
QQCVUPS,-18.67366,1.6,151.0636,1
VEXGJKX,-18.64862,1.6,160.0876,1
XHWVZRK,-15.64845,1.6,165.4476,1
EWBOLFG,-18.59396,1.6,166.8767,1
KSKRBDM,-24.77329,1.6,167.0515,1
NAZSTKS,-25.0527,1.6,155.155,1
WUZDRPH,-28.42754,1.6,161.1589,1
PIBGRST,-27.264,1.6,162.7257,1
LYDGNSU,-26.91051,1.6,168.6561,1
JRGJRES,-29.31702,1.6,171.2451,1
KPDOGKP,-25.18655,1.6,176.7239,1
DOLKRJJ,-25.62027,1.6,187.253,1
JUDPATG,-33.88502,1.6,184.6525,1
PMQLOEW,-37.38284,1.6,181.6959,1
ZQQZVKL,-37.83205,1.6,184.7925,1
XAZBHIB,-33.00124,1.6,127.7991,6535
MUACXII,-36.02982,1.6,145.046,1
CITMGWS,-39.62849,1.6,148.2592,1
IBVRBHZ,-39.92514,1.6,164.3411,678
CJWXIGK,-40.45821,1.6,154.2495,252
HCDXXHS,-54.91811,1.6,151.0836,423
TVEKKFP,-57.83242,1.6,149.732,31
HCNMTBG,-57.90193,1.6,148.4928,738
WQXJZRU,-58.05102,1.6,147.182,1
KYIBVKN,-68.26978,1.6,150.158,431
ORKBBTO,-74.29147,1.6,148.4213,898
LKIWPFD,-93.95316,1.6,154.7342,214
GVVOMOW,-94.21544,1.6,153.3201,1127
ZHNLUEC,-120.0832,1.6,164.5057,6620
WTNVFUP,-176.447,1.6,194.7095,3240
FZPCEQK,-40.79855,1.6,195.1285,3562
NOIOJBS,-42.92,1.6,195.1331,562
KFVBRCS,-47.28059,1.6,167.3821,1
ROQOKFR,-44.1883,1.6,173.4487,1
SGFTUUO,-45.9284,1.6,182.6994,1
JBNLJKD,-57.87104,1.6,181.6884,1
PRRZMNS,-54.9216,1.6,184.4083,1
GCHDPUF,-55.44245,1.6,187.8558,1
JIJIJIK,-65.69,1.6,195.1339,1
KMPPKBW,-78.89259,1.6,194.9303,1
UFWMGIY,-79.7581,1.6,181.2034,1
KILLLIH,-68.1872,1.6,186.8704,1
SHHKAUM,-65.57021,1.6,185.0538,1
EZWEJOK,-66.0183,1.6,175.9672,1
HZOSIQN,-66.57202,1.6,162.1946,1
CCUUUPN,-89.97663,1.6,162.9391,1
BMCENZB,-92.66977,1.6,158.3377,1649
JQAOHBD,-96.56,1.6,147.26,4996
YPYQLNW,-119.4286,1.6,165.3813,2558
ERMVBIQ,-179.2,1.6,194.4686,1
FNTTGFW,13.95288,1.6,6.9,858
PRRMVLU,12.52756,1.6,7.699501,1326
SXCNKID,15.89259,1.6,13.33828,91
FLJVZLE,12.53366,1.6,12.35552,160
OSHPBCH,5.21489,1.6,27.1888,97
NCSHIEN,9.637535,1.6,28.256,107
DKZZMRJ,17.1381,1.6,38.83311,1172
NVJCJRK,15.54835,1.6,38.72453,1130
RIQMXJR,22.20575,1.6,60.25455,991
FOFYPIH,20.90359,1.6,60.4,1449
QARQAKP,22.784,1.6,58.31816,496
RSOSDXE,20.15801,1.6,42.24991,369
GDPRJIH,15.22961,1.6,43.9005,440
GRVEYOM,19.66943,1.6,58.91588,1054
DDFBQAO,29.60701,1.6,82.11684,1726
BHHDGHV,30.09483,1.6,95.4351,1092
FXANTCP,25.6413,1.6,96.12937,1
KFKSHRX,24.35577,1.6,95.44164,1814
VVLUOGZ,3.902946,1.6,90.72064,3
IGHRLTN,7.701759,1.6,46.93308,9
GMQOCYL,12.73028,1.6,48.5791,9
UGIDYOA,16.35546,1.6,52.74449,8
BZMBLNX,13.14414,1.6,53.71254,7
KSNXFMM,11.75606,1.6,57.57451,12
LIHLIBO,17.19994,1.6,59.07426,3
QQDDNGT,20.37412,1.6,75.38592,7
ZDCXJWM,2.957207,1.6,44.28772,940
KAGYRVI,13.02292,1.6,42.69043,317
WLMHSFR,11.08963,1.6,39.22139,537
MMJWREY,21.66818,1.6,38.5859,62
XMLEKBC,18.16261,1.6,34.08019,439
HRGKVBF,32.3391,1.6,28.29942,335
JVBXBEF,7.141716,1.6,15.31585,17
ELAWBJK,16.21671,1.6,10.32765,141
RHKURVK,22.18171,1.6,-1.392677,276
DZBCINK,19.24573,1.6,25.04298,55
MDXUNDK,19.2,1.6,29.1,146
XSUWOHY,26.63572,1.6,25.1517,180
RJHMSJR,26.5,1.6,20.81277,99
KJWFQDM,25.3605,1.6,16.26648,29
UDQYJDD,29.8895,1.6,18.43017,108
TDQMTRZ,39.71688,1.6,22.11355,362
PXYHQRO,40.99825,1.6,8.818764,1674
NIWJKZM,34.5397,1.6,-2.571869,2556
YDHAOSE,40.44938,1.6,-1.178085,668
ENFIRSX,71.92214,1.6,-2.785904,19
WWRMZPL,71.83638,1.6,-0.2125473,19
RIVWQWV,66.67088,1.6,-1.070717,19
UBINRJV,67.07233,1.6,-4.92804,29
ELDCSOA,55.90619,1.6,-4.928085,21
KULRNBT,69.22775,1.6,8.70443,180
KUHAKTW,49.07895,1.6,1.028671,186
